incident_id,incident_description,root_cause,corrective_action_type,preventive_action_type,severity_level
INC-2023-1936,Wrong batch number C2661A entered into batch record for batch A5095C. Documentation error discovered during QA review prior to batch release.,Human Error,Operator retraining,Enhance supplier qualification process,High
INC-2023-1937,Differential pressure between Grade B and Grade C dropped below minimum specification in Room C303 during batch A5138A processing. Pressure alarm triggered.,Environmental Control Failure,Batch quarantine and investigation,Increase monitoring frequency,Low
INC-2023-1938,Operator OP-1164 used previous batch record template for batch A5698C documentation. Version mismatch identified during QA batch record review before release.,Human Error,Deep cleaning and sanitisation,Enhance supplier qualification process,High
INC-2023-1939,Filling pump CP-772 showed variable fill volume on line 6. Fill weights ranged 485.3mg to 515.3mg against target for batch C1964B.,Equipment Failure,Root cause investigation and CAPA report,Install automated alarm and alert system,Low
INC-2023-1940,Temperature excursion in cold storage Room D104 for 2.2 hours. Temperature reached 21.5 degrees C above upper limit. Batch B5123A products affected.,Environmental Control Failure,Batch quarantine and investigation,Increase monitoring frequency,Medium
INC-2023-1941,Water purification system BLD-278 conductivity exceeded 2.0 uS/cm limit. Batch E7336B manufactured with potentially non-compliant purified water. Batch quarantined.,Equipment Failure,Equipment repair and recalibration,Add in-process checks at critical steps,Low
INC-2023-1942,Operator OP-3520 skipped in-process weight check at 50% completion during tablet compression of batch B3451A. Step omitted from batch record.,Human Error,Document revision and re-issuance,Revise SOP with enhanced controls,Medium
INC-2023-1943,In-process pH of batch C5304A drifted to 4.2 outside validated range of 4.6 to 6.3 during granulation step.,Process Deviation,Deep cleaning and sanitisation,Revise SOP with enhanced controls,Medium
INC-2023-1944,Incorrect cleaning agent applied to equipment AC-687 following batch C6488A processing. Cleaning SOP not consulted prior to cleaning. Contamination risk assessed.,Human Error,Document revision and re-issuance,Deploy continuous training programme,Low
INC-2023-1945,Granule moisture content for batch D2566A measured at 1.5% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Batch quarantine and investigation,Increase monitoring frequency,Medium
INC-2023-1946,Operator OP-9212 used previous batch record template for batch C5751B documentation. Version mismatch identified during QA batch record review before release.,Human Error,Document revision and re-issuance,Introduce dual-person verification,Low
INC-2023-1947,Filling pump TBL-710 showed variable fill volume on line 2. Fill weights ranged 489.1mg to 518.0mg against target for batch D1572C.,Equipment Failure,Root cause investigation and CAPA report,Add in-process checks at critical steps,High
INC-2023-1948,Microbial contamination detected in Grade A filling area. Environmental monitoring sample returned 9 CFU. Action limit is 6 CFU.,Environmental Control Failure,Deep cleaning and sanitisation,Increase monitoring frequency,High
INC-2023-1949,Electronic batch record system QMS Pro v3.2 lost data entry for batch C5449B step 13 due to server timeout. Manual data recovery required.,Software / System Failure,Product recall and destruction,Upgrade software with validation,High
INC-2023-1950,In-process pH of batch A6486A drifted to 3.9 outside validated range of 4.4 to 6.7 during granulation step.,Process Deviation,Batch quarantine and investigation,Increase monitoring frequency,Medium
INC-2023-1951,Operator OP-6656 performed environmental sampling procedure without completing required refresher training. Retraining was overdue by 35 days at time of incident.,Training Gap,Operator retraining,Add in-process checks at critical steps,Low
INC-2023-1952,Coating pan CEN-932 experienced a mechanical failure during batch E1027C coating process. Spray nozzle blocked causing uneven film coating. 27.1% of tablets outside uniformity specification.,Equipment Failure,Process parameter adjustment,Increase monitoring frequency,Medium
INC-2023-1953,Wrong batch number B3714C entered into batch record for batch D8075C. Documentation error discovered during QA review prior to batch release.,Human Error,System configuration correction,Deploy continuous training programme,Medium
INC-2023-1954,Automated dispensing system QMS Pro v3.2 dispensed incorrect quantity of HPMC for batch D5133B. Software calibration fault confirmed. Batch quarantined pending investigation.,Software / System Failure,System configuration correction,Deploy continuous training programme,Medium
INC-2023-1955,HPLC instrument CP-713 produced erratic baseline during analysis of batch C7421A samples. Column pressure exceeded 155 bar. Results invalidated and reanalysis required.,Equipment Failure,Root cause investigation and CAPA report,Introduce dual-person verification,High
INC-2023-1956,Bulk density of Active Pharmaceutical Ingredient lot LOT-70582 from BioRaw GmbH outside specification. Compressibility index of 26.2% exceeds limit affecting downstream processing.,Material / Supplier Defect,Root cause investigation and CAPA report,Enhance supplier qualification process,Medium
INC-2023-1957,Tablet press CEN-559 produced tablets with hardness below specification during compression of batch A3612B. Average hardness 5.2 kP against minimum of 6.9 kP.,Equipment Failure,Equipment repair and recalibration,Add in-process checks at critical steps,Medium
INC-2023-1958,HPLC instrument HP-744 produced erratic baseline during analysis of batch D6692B samples. Column pressure exceeded 165 bar. Results invalidated and reanalysis required.,Equipment Failure,Process parameter adjustment,Add in-process checks at critical steps,Medium
INC-2023-1959,Bioburden of 22 CFU per 100mL detected in WFI water used for batch B2182A. Alert limit is 1 CFU per 100mL. Batch quarantined.,Process Deviation,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Medium
INC-2023-1960,Positive pressure in filling suite Suite B lost for 3.5 hours due to door seal failure. Batch E3562C aseptic filling was in progress at time of exceedance.,Environmental Control Failure,Product recall and destruction,Install automated alarm and alert system,Medium
INC-2023-1961,Differential pressure between Grade B and Grade C dropped below minimum specification in Room D104 during batch A8900C processing. Pressure alarm triggered.,Environmental Control Failure,Product recall and destruction,Implement environmental monitoring trend analysis,High
INC-2023-1962,Operator OP-6391 used previous batch record template for batch D8114C documentation. Version mismatch identified during QA batch record review before release.,Human Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,High
INC-2023-1963,Non-viable particle count in Grade A zone exceeded specification during aseptic filling of batch B1279B. 21 particles per m3 recorded. Filling halted for investigation.,Environmental Control Failure,Product recall and destruction,Implement environmental monitoring trend analysis,High
INC-2023-1964,Double dispensing of Povidone occurred for batch E1369C. Operator OP-5483 did not check previous dispensing record. Total weight 19.5% above specification.,Human Error,Deep cleaning and sanitisation,Revise SOP with enhanced controls,Low
INC-2023-1965,Incorrect expiry date printed on labels for batch A3049C. 3446 units incorrectly labelled before detection by QA inspection.,Human Error,Operator retraining,Deploy continuous training programme,High
INC-2023-1966,Balance CEN-890 failed calibration check before dispensing operations for batch D2764C. Drift of 0.16 g recorded against tolerance of 0.01 g.,Equipment Failure,Process parameter adjustment,Increase monitoring frequency,Medium
INC-2023-1967,Mixing time for batch B9063A reduced to 9.4 minutes due to equipment issue. Validated minimum mixing time is 22 minutes. Blend uniformity testing initiated.,Process Deviation,Batch quarantine and investigation,Upgrade software with validation,Medium
INC-2023-1968,Visual inspection of batch D1446B identified 2 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Batch quarantine and investigation,Revise SOP with enhanced controls,Medium
INC-2023-1969,Granulator FP-247 impeller speed dropped from target 255 rpm to 191 rpm during wet granulation of batch E1041A. Granule properties affected.,Equipment Failure,System configuration correction,Increase monitoring frequency,Medium
INC-2023-1970,Yield for batch D6976C was 85.9% against expected yield of 98.6%. Unaccounted material loss triggers investigation.,Process Deviation,Deep cleaning and sanitisation,Enhance supplier qualification process,Medium
INC-2023-1971,Dissolution profile for batch E3383B failed at 60 minute timepoint. 15.7% dissolved against specification of NLT 76.0%.,Process Deviation,Deep cleaning and sanitisation,Increase monitoring frequency,High
INC-2023-1972,Retention sample for batch E1075C not taken per SOP SOP-086 requirements. Omission identified during annual product review and sample inventory check.,Documentation Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,High
INC-2023-1973,Laboratory analyst OP-6990 performed testing using method SOP SOP-075 without completing analytical method training qualification record.,Training Gap,Document revision and re-issuance,Add in-process checks at critical steps,Low
INC-2023-1974,Two raw material lots LOT-42555 and LOT-33351 mixed in dispensary during weighing for batch B9366B. Mix-up detected by second operator during verification check.,Human Error,Root cause investigation and CAPA report,Deploy continuous training programme,High
INC-2023-1975,Stability protocol for batch E3896C not updated following formulation change approval. Study conducted per obsolete protocol. Results may not be reportable.,Documentation Error,Operator retraining,Revise SOP with enhanced controls,Medium
INC-2023-1976,Two raw material lots LOT-15014 and LOT-50229 mixed in dispensary during weighing for batch A6637A. Mix-up detected by second operator during verification check.,Human Error,Operator retraining,Introduce dual-person verification,High
INC-2023-1977,Dissolution profile for batch E7128C failed at 90 minute timepoint. 28.8% dissolved against specification of NLT 79.0%.,Process Deviation,Root cause investigation and CAPA report,Increase monitoring frequency,Medium
INC-2023-1978,Primary packaging material lot LOT-80058 from ChemSource Inc failed leak test. 24.6% of units showed leakage during 100% integrity inspection.,Material / Supplier Defect,Batch quarantine and investigation,Add in-process checks at critical steps,Low
INC-2023-1979,Operator OP-8580 initiated compression of batch D4788A without completing blend uniformity check. Procedural step bypassed without authorisation.,Human Error,Operator retraining,Deploy continuous training programme,Medium
INC-2023-1980,Viable particle count in Grade B area exceeded action limit. 15 CFU per m3 detected at sample point during batch C3576C manufacture.,Environmental Control Failure,Deep cleaning and sanitisation,Implement environmental monitoring trend analysis,Medium
INC-2023-1981,Incorrect cleaning agent applied to equipment FP-142 following batch B4361B processing. Cleaning SOP not consulted prior to cleaning. Contamination risk assessed.,Human Error,Root cause investigation and CAPA report,Introduce dual-person verification,High
INC-2023-1982,Centrifuge FP-611 imbalance alarm triggered during processing of batch D3207B. Processing halted at 25% completion. Product integrity requires assessment.,Equipment Failure,Root cause investigation and CAPA report,Install automated alarm and alert system,Medium
INC-2023-1983,Temperature excursion in cold storage Room E205 for 5.8 hours. Temperature reached 2.7 degrees C above upper limit. Batch B2474B products affected.,Environmental Control Failure,Root cause investigation and CAPA report,Implement environmental monitoring trend analysis,High
INC-2023-1984,Operator OP-8602 initiated compression of batch C3644B without completing blend uniformity check. Procedural step bypassed without authorisation.,Human Error,Deep cleaning and sanitisation,Introduce dual-person verification,Medium
INC-2023-1985,Moisture content of HPMC lot LOT-63539 from PackRight Ltd was 1.7% exceeding NMT specification. Material quarantined and rejected. Supplier notified.,Material / Supplier Defect,Document revision and re-issuance,Enhance supplier qualification process,Low
INC-2023-1986,Training record for operator OP-8624 does not include current version of SOP SOP-015. Operator performed aseptic filling without current documented qualification.,Documentation Error,Root cause investigation and CAPA report,Introduce dual-person verification,Medium
INC-2023-1987,Electronic batch record system Veeva Vault lost data entry for batch C1007B step 19 due to server timeout. Manual data recovery required.,Software / System Failure,Product recall and destruction,Deploy continuous training programme,High
INC-2023-1988,Differential pressure between Grade B and Grade C dropped below minimum specification in Room D104 during batch B1279A processing. Pressure alarm triggered.,Environmental Control Failure,Deep cleaning and sanitisation,Implement environmental monitoring trend analysis,High
INC-2023-1989,Temperature excursion in cold storage Room A101 for 6.6 hours. Temperature reached 21.5 degrees C above upper limit. Batch C2234C products affected.,Environmental Control Failure,Batch quarantine and investigation,Increase monitoring frequency,Low
INC-2023-1990,Microbial contamination found in HPMC lot LOT-32848 from ExciPure Corp. Total aerobic count 23 CFU/g exceeds NMT limit. Material quarantined.,Material / Supplier Defect,Batch quarantine and investigation,Enhance supplier qualification process,Medium
INC-2023-1991,Print quality failure on label batch LOT-44223 from PackRight Ltd. Barcode not readable by automated scanner. 10.2% of labels failed reading test.,Material / Supplier Defect,Supplier qualification review,Enhance supplier qualification process,Low
INC-2023-1992,Tablet disintegration for batch A2980A exceeded 28.2 minutes at 15 minute timepoint. Specification limit is NMT 8 minutes.,Process Deviation,Deep cleaning and sanitisation,Upgrade software with validation,High
INC-2023-1993,Operator OP-3496 set drying temperature to 55.9 degrees C instead of specified 32.2 degrees C for batch C8012C. Deviation noted after 2.7 hours of processing.,Human Error,Document revision and re-issuance,Revise SOP with enhanced controls,Medium
INC-2023-1994,Training record for operator OP-9349 does not include current version of SOP SOP-078. Operator performed environmental sampling without current documented qualification.,Documentation Error,Document revision and re-issuance,Introduce dual-person verification,Low
INC-2023-1995,HPLC instrument EQ-183 produced erratic baseline during analysis of batch B5779A samples. Column pressure exceeded 347 bar. Results invalidated and reanalysis required.,Equipment Failure,Process parameter adjustment,Install automated alarm and alert system,High
INC-2023-1996,Microbial contamination found in Microcrystalline Cellulose lot LOT-37656 from BioRaw GmbH. Total aerobic count 41 CFU/g exceeds NMT limit. Material quarantined.,Material / Supplier Defect,Document revision and re-issuance,Enhance supplier qualification process,High
INC-2023-1997,Gowning procedure not followed correctly by operator OP-6159 entering Grade A filling zone during batch C6302C filling operation. Non-compliance confirmed by CCTV review.,Human Error,Operator retraining,Introduce dual-person verification,Low
INC-2023-1998,Heavy metals test for Povidone lot LOT-73672 from ExciPure Corp failed specification. 7.36 ppm detected against permitted limit.,Material / Supplier Defect,Batch quarantine and investigation,Upgrade software with validation,Medium
INC-2023-1999,Primary packaging material lot LOT-22814 from ExciPure Corp failed leak test. 14.1% of units showed leakage during 100% integrity inspection.,Material / Supplier Defect,Supplier qualification review,Enhance supplier qualification process,High
INC-2023-2000,Incorrect expiry date printed on labels for batch E9512A. 3162 units incorrectly labelled before detection by QA inspection.,Human Error,Deep cleaning and sanitisation,Revise SOP with enhanced controls,Medium
INC-2024-2001,Operator OP-4467 initiated compression of batch D4050A without completing blend uniformity check. Procedural step bypassed without authorisation.,Human Error,Operator retraining,Deploy continuous training programme,Medium
INC-2024-2002,ERP system LIMS Nexus generated duplicate batch number for two separate manufacturing orders. Traceability risk identified during batch reconciliation process.,Software / System Failure,Root cause investigation and CAPA report,Add in-process checks at critical steps,High
INC-2024-2003,Electronic signature system SAP QM allowed batch A6897B record approval without required second authorised signatory. Workflow configuration error identified.,Software / System Failure,Document revision and re-issuance,Upgrade software with validation,Medium
INC-2024-2004,Visual inspection of batch A6509A identified 24 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Low
INC-2024-2005,Visual inspection of batch C6008A identified 9 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Process parameter adjustment,Revise SOP with enhanced controls,Low
INC-2024-2006,Operator OP-4413 added 11.3% excess of Magnesium Stearate to batch C7718B during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Root cause investigation and CAPA report,Enhance supplier qualification process,Medium
INC-2024-2007,New operator OP-2821 in Sterile Fill performed visual inspection of batch D9913B without completing required visual inspection qualification and certification programme.,Training Gap,Root cause investigation and CAPA report,Deploy continuous training programme,Medium
INC-2024-2008,HPLC instrument FP-980 produced erratic baseline during analysis of batch E5197A samples. Column pressure exceeded 313 bar. Results invalidated and reanalysis required.,Equipment Failure,Deep cleaning and sanitisation,Implement preventive maintenance schedule,Medium
INC-2024-2009,Calibration certificate for HP-300 expired 62 days before use during batch A8628A manufacture. Expired status not identified before equipment use.,Documentation Error,Document revision and re-issuance,Introduce dual-person verification,Low
INC-2024-2010,In-process pH of batch B5825B drifted to 6.8 outside validated range of 4.1 to 7.8 during granulation step.,Process Deviation,Deep cleaning and sanitisation,Upgrade software with validation,High
INC-2024-2011,Positive pressure in filling suite Room 101 lost for 4.1 hours due to door seal failure. Batch B3828B aseptic filling was in progress at time of exceedance.,Environmental Control Failure,Root cause investigation and CAPA report,Install automated alarm and alert system,Medium
INC-2024-2012,Electronic batch record system Veeva Vault lost data entry for batch B4174A step 17 due to server timeout. Manual data recovery required.,Software / System Failure,Root cause investigation and CAPA report,Upgrade software with validation,Medium
INC-2024-2013,SOP SOP-056 version v2.9 used during batch B7338B manufacture. Current approved version is v7.5. Superseded version not removed.,Documentation Error,Document revision and re-issuance,Introduce dual-person verification,Medium
INC-2024-2014,Double dispensing of HPMC occurred for batch A1457C. Operator OP-4682 did not check previous dispensing record. Total weight 19.8% above specification.,Human Error,Operator retraining,Enhance supplier qualification process,Medium
INC-2024-2015,Tablet disintegration for batch E8524C exceeded 20.2 minutes at 15 minute timepoint. Specification limit is NMT 26 minutes.,Process Deviation,Batch quarantine and investigation,Revise SOP with enhanced controls,Low
INC-2024-2016,Fill volume for batch E6569A vials measured outside specification. 49 vials showed fill volume below lower specification limit on filling line.,Process Deviation,Deep cleaning and sanitisation,Add in-process checks at critical steps,High
INC-2024-2017,pH of Microcrystalline Cellulose lot LOT-12871 from PharmChem Ltd measured 5.7 outside specification of 4.9 to 7.2. Material quarantined.,Material / Supplier Defect,Document revision and re-issuance,Add in-process checks at critical steps,High
INC-2024-2018,Granulator AC-855 impeller speed dropped from target 101 rpm to 66 rpm during wet granulation of batch A7490C. Granule properties affected.,Equipment Failure,Deep cleaning and sanitisation,Implement preventive maintenance schedule,Medium
INC-2024-2019,Incorrect expiry date printed on labels for batch A4940B. 4842 units incorrectly labelled before detection by QA inspection.,Human Error,Document revision and re-issuance,Enhance supplier qualification process,High
INC-2024-2020,Freeze dryer HP-562 experienced shelf temperature excursion during primary drying of batch E2151B. Shelf temperature rose 20.1 degrees C above the validated specification limit.,Equipment Failure,Deep cleaning and sanitisation,Increase monitoring frequency,High
INC-2024-2021,Coating pan CP-122 experienced a mechanical failure during batch B4557A coating process. Spray nozzle blocked causing uneven film coating. 5.9% of tablets outside uniformity specification.,Equipment Failure,Equipment repair and recalibration,Install automated alarm and alert system,Low
INC-2024-2022,Compressed air moisture content on filling line 4 exceeded 2.5 ppm limit. Batch A6415C potentially affected.,Environmental Control Failure,Root cause investigation and CAPA report,Deploy continuous training programme,Low
INC-2024-2023,QA analyst OP-3272 released batch D2533C without reviewing all in-process deviation records. One unresolved deviation found post-release during annual product review.,Human Error,Operator retraining,Revise SOP with enhanced controls,Medium
INC-2024-2024,Fill volume for batch B2658A vials measured outside specification. 26 vials showed fill volume below lower specification limit on filling line.,Process Deviation,Root cause investigation and CAPA report,Increase monitoring frequency,High
INC-2024-2025,Bulk density of Microcrystalline Cellulose lot LOT-84632 from API Solutions outside specification. Compressibility index of 8.7% exceeds limit affecting downstream processing.,Material / Supplier Defect,Supplier qualification review,Add in-process checks at critical steps,High
INC-2024-2026,Moisture content of Microcrystalline Cellulose lot LOT-27285 from ExciPure Corp was 3.6% exceeding NMT specification. Material quarantined and rejected. Supplier notified.,Material / Supplier Defect,Supplier qualification review,Upgrade software with validation,High
INC-2024-2027,Moisture content of Sodium Starch Glycolate lot LOT-84892 from BioRaw GmbH was 2.3% exceeding NMT specification. Material quarantined and rejected. Supplier notified.,Material / Supplier Defect,Batch quarantine and investigation,Upgrade software with validation,Medium
INC-2024-2028,Operator OP-8660 in Packaging not trained on emergency response procedure. Training gap identified during unannounced mock drill exercise.,Training Gap,Root cause investigation and CAPA report,Deploy continuous training programme,Medium
INC-2024-2029,Operator OP-4481 added 29.9% excess of Povidone to batch E2690B during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Deep cleaning and sanitisation,Implement preventive maintenance schedule,High
INC-2024-2030,Incorrect cleaning agent applied to equipment HP-532 following batch E2642C processing. Cleaning SOP not consulted prior to cleaning. Contamination risk assessed.,Human Error,Operator retraining,Revise SOP with enhanced controls,Low
INC-2024-2031,Water purification system HP-431 conductivity exceeded 2.3 uS/cm limit. Batch E6437A manufactured with potentially non-compliant purified water. Batch quarantined.,Equipment Failure,Deep cleaning and sanitisation,Install automated alarm and alert system,Low
INC-2024-2032,Incorrect cleaning agent applied to equipment BLD-500 following batch E8199A processing. Cleaning SOP not consulted prior to cleaning. Contamination risk assessed.,Human Error,Document revision and re-issuance,Introduce dual-person verification,Medium
INC-2024-2033,Viable particle count in Grade B area exceeded action limit. 24 CFU per m3 detected at sample point during batch D3556A manufacture.,Environmental Control Failure,Product recall and destruction,Install automated alarm and alert system,Medium
INC-2024-2034,Dissolution apparatus AC-417 paddle speed not verified prior to testing batch A4324A. Speed found at 38 rpm instead of specified 76 rpm.,Equipment Failure,Process parameter adjustment,Implement preventive maintenance schedule,High
INC-2024-2035,Incorrect expiry date printed on labels for batch E5610B. 2355 units incorrectly labelled before detection by QA inspection.,Human Error,Operator retraining,Revise SOP with enhanced controls,Medium
INC-2024-2036,Granule moisture content for batch B6506B measured at 4.0% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Deep cleaning and sanitisation,Add in-process checks at critical steps,High
INC-2024-2037,Yield for batch B9926C was 92.4% against expected yield of 98.3%. Unaccounted material loss triggers investigation.,Process Deviation,Root cause investigation and CAPA report,Upgrade software with validation,High
INC-2024-2038,HPLC instrument HP-345 produced erratic baseline during analysis of batch C9895A samples. Column pressure exceeded 166 bar. Results invalidated and reanalysis required.,Equipment Failure,Process parameter adjustment,Increase monitoring frequency,Low
INC-2024-2039,Water purification system CEN-385 conductivity exceeded 2.4 uS/cm limit. Batch C8704C manufactured with potentially non-compliant purified water. Batch quarantined.,Equipment Failure,Deep cleaning and sanitisation,Increase monitoring frequency,Low
INC-2024-2040,Bulk density of Magnesium Stearate lot LOT-39793 from API Solutions outside specification. Compressibility index of 10.0% exceeds limit affecting downstream processing.,Material / Supplier Defect,Root cause investigation and CAPA report,Enhance supplier qualification process,Medium
INC-2024-2041,Dissolution profile for batch E3187C failed at 90 minute timepoint. 26.7% dissolved against specification of NLT 79.0%.,Process Deviation,Document revision and re-issuance,Increase monitoring frequency,Low
INC-2024-2042,QA analyst OP-1370 released batch D3017C without reviewing all in-process deviation records. One unresolved deviation found post-release during annual product review.,Human Error,Deep cleaning and sanitisation,Introduce dual-person verification,Low
INC-2024-2043,Visual inspection of batch E8633A identified 9 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Process parameter adjustment,Increase monitoring frequency,Low
INC-2024-2044,ERP system LIMS Nexus generated duplicate batch number for two separate manufacturing orders. Traceability risk identified during batch reconciliation process.,Software / System Failure,Root cause investigation and CAPA report,Upgrade software with validation,High
INC-2024-2045,Blend uniformity failure detected for batch B7130C. RSD of 3.6% exceeds limit of 6.9%. Blending time was 18.2 minutes against validated 51 minutes.,Process Deviation,Process parameter adjustment,Add in-process checks at critical steps,Medium
INC-2024-2046,Two raw material lots LOT-45737 and LOT-58892 mixed in dispensary during weighing for batch E8685B. Mix-up detected by second operator during verification check.,Human Error,Root cause investigation and CAPA report,Introduce dual-person verification,Medium
INC-2024-2047,Operator OP-5225 in Warehouse not trained on emergency response procedure. Training gap identified during unannounced mock drill exercise.,Training Gap,Document revision and re-issuance,Deploy continuous training programme,Medium
INC-2024-2048,Calibration certificate for AC-155 expired 86 days before use during batch A3252B manufacture. Expired status not identified before equipment use.,Documentation Error,Operator retraining,Introduce dual-person verification,Low
INC-2024-2049,Excipient Povidone lot LOT-72945 from PharmChem Ltd contained visible foreign particulate. Failed visual inspection during incoming QC screening.,Material / Supplier Defect,Supplier qualification review,Revise SOP with enhanced controls,Medium
INC-2024-2050,Relative humidity in manufacturing suite Room 101 rose to 67.0% exceeding limit for 5.5 hours during batch C1666B processing.,Environmental Control Failure,Batch quarantine and investigation,Install automated alarm and alert system,High
INC-2024-2051,Double dispensing of Povidone occurred for batch B8728A. Operator OP-7717 did not check previous dispensing record. Total weight 19.2% above specification.,Human Error,Operator retraining,Enhance supplier qualification process,Medium
INC-2024-2052,Bulk density of Magnesium Stearate lot LOT-82482 from BioRaw GmbH outside specification. Compressibility index of 25.6% exceeds limit affecting downstream processing.,Material / Supplier Defect,Supplier qualification review,Add in-process checks at critical steps,High
INC-2024-2053,Operator OP-2103 followed previous gowning procedure for Grade A entry. Updated SOP SOP-005 training not completed prior to cleanroom entry.,Training Gap,Operator retraining,Revise SOP with enhanced controls,Low
INC-2024-2054,HPLC instrument FP-361 produced erratic baseline during analysis of batch C5540C samples. Column pressure exceeded 132 bar. Results invalidated and reanalysis required.,Equipment Failure,Deep cleaning and sanitisation,Install automated alarm and alert system,High
INC-2024-2055,Operator OP-7903 set drying temperature to 59.0 degrees C instead of specified 30.1 degrees C for batch A1002A. Deviation noted after 1.9 hours of processing.,Human Error,Operator retraining,Revise SOP with enhanced controls,Medium
INC-2024-2056,Autoclave EQ-342 failed to reach sterilisation temperature of 121 degrees C during cycle for batch D2181C. Maximum recorded temperature was 33.1 degrees C. Load quarantined pending investigation.,Equipment Failure,Deep cleaning and sanitisation,Implement preventive maintenance schedule,Medium
INC-2024-2057,Chromatography data system ChemStation incorrectly integrated peak area for batch D8749A samples. Manual reintegration required for all affected samples.,Software / System Failure,System configuration correction,Upgrade software with validation,Low
INC-2024-2058,Audit trail in QMS software Veeva Vault failed to record change made to batch C9771C record. 21 CFR Part 11 compliance gap identified during internal audit.,Software / System Failure,Root cause investigation and CAPA report,Upgrade software with validation,Low
INC-2024-2059,Calibration certificate for CEN-319 expired 71 days before use during batch B9975C manufacture. Expired status not identified before equipment use.,Documentation Error,System configuration correction,Introduce dual-person verification,Low
INC-2024-2060,Relative humidity in manufacturing suite Room 101 rose to 72.0% exceeding limit for 7.1 hours during batch A5350A processing.,Environmental Control Failure,Root cause investigation and CAPA report,Increase monitoring frequency,High
INC-2024-2061,API assay for lot LOT-32067 from BioRaw GmbH measured 97.7% against specification of 93.3% to 108.6%.,Material / Supplier Defect,Root cause investigation and CAPA report,Upgrade software with validation,Low
INC-2024-2062,Particle size distribution of Povidone lot LOT-75616 outside specification. D90 measured at 350.0 µm against NMT limit.,Material / Supplier Defect,Batch quarantine and investigation,Add in-process checks at critical steps,Medium
INC-2024-2063,Dissolution profile for batch B7213C failed at 45 minute timepoint. 22.9% dissolved against specification of NLT 71.0%.,Process Deviation,Batch quarantine and investigation,Increase monitoring frequency,Medium
INC-2024-2064,Tablet weight variation for batch D1985C failed at 25% compression stage. RSD of 3.5% exceeds permitted limit of 7.6%.,Process Deviation,Process parameter adjustment,Upgrade software with validation,Low
INC-2024-2065,Moisture content of Magnesium Stearate lot LOT-59792 from ChemSource Inc was 2.9% exceeding NMT specification. Material quarantined and rejected. Supplier notified.,Material / Supplier Defect,Root cause investigation and CAPA report,Upgrade software with validation,Medium
INC-2024-2066,Dissolution profile for batch A5897B failed at 120 minute timepoint. 10.1% dissolved against specification of NLT 80.0%.,Process Deviation,Deep cleaning and sanitisation,Increase monitoring frequency,High
INC-2024-2067,Water purification system AC-936 conductivity exceeded 1.9 uS/cm limit. Batch D1637A manufactured with potentially non-compliant purified water. Batch quarantined.,Equipment Failure,Deep cleaning and sanitisation,Implement preventive maintenance schedule,Medium
INC-2024-2068,Non-viable particle count in Grade A zone exceeded specification during aseptic filling of batch A4167A. 13 particles per m3 recorded. Filling halted for investigation.,Environmental Control Failure,Deep cleaning and sanitisation,Increase monitoring frequency,Medium
INC-2024-2069,Microbial contamination detected in Grade B filling area. Environmental monitoring sample returned 31 CFU. Action limit is 10 CFU.,Environmental Control Failure,Deep cleaning and sanitisation,Implement environmental monitoring trend analysis,Medium
INC-2024-2070,Filling pump HP-147 showed variable fill volume on line 1. Fill weights ranged 481.6mg to 518.6mg against target for batch D4494A.,Equipment Failure,Deep cleaning and sanitisation,Add in-process checks at critical steps,High
INC-2024-2071,LIMS system ChemStation generated incorrect assay calculation for batch C9281C. Formula error found in calculation module. All results require manual verification.,Software / System Failure,Root cause investigation and CAPA report,Upgrade software with validation,High
INC-2024-2072,Operator OP-9425 used previous batch record template for batch C9677C documentation. Version mismatch identified during QA batch record review before release.,Human Error,Document revision and re-issuance,Deploy continuous training programme,High
INC-2024-2073,Print quality failure on label batch LOT-76780 from API Solutions. Barcode not readable by automated scanner. 29.1% of labels failed reading test.,Material / Supplier Defect,Document revision and re-issuance,Revise SOP with enhanced controls,High
INC-2024-2074,Filling pump BLD-517 showed variable fill volume on line 1. Fill weights ranged 485.2mg to 516.1mg against target for batch D6887C.,Equipment Failure,Supplier qualification review,Add in-process checks at critical steps,Low
INC-2024-2075,Training record for operator OP-5929 does not include current version of SOP SOP-037. Operator performed HPLC analysis without current documented qualification.,Documentation Error,System configuration correction,Introduce dual-person verification,Medium
INC-2024-2076,HVAC system failure in cleanroom Room A101 resulted in differential pressure drop below specification. Grade integrity compromised for 5.8 hours during batch A1594C manufacture.,Environmental Control Failure,Root cause investigation and CAPA report,Increase monitoring frequency,Medium
INC-2024-2077,Visual inspection of batch B8976C identified 45 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Batch quarantine and investigation,Enhance supplier qualification process,Medium
